LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(frame),(frame),(frame),( ),( ),( ),( ),( /frame),( /frame),( /frame),( /frame),( /frame),(quality),( ),( ),,( /frame),,(rad/frame)
Track_14389,41,41,180,1,0,0,0,1,180.0,0.0,180.0,23.390149624562774,736.189963289326,1023.136444542793,0.0,3.0261420220475475,13.183103638262182,0.07329772350241695,2.7415037047571085,1.9594133933673663,12038.711111111112,543.8660746540103,38.00428456622014,0.04300718635455028,0.12994527569201542,0.04294090453959985,1.8194027082636577
Track_14390,42,42,177,3,0,0,0,2,180.0,0.0,180.0,21.439354328102993,83.72020009274169,306.8530080692852,0.0,4.7268995435193055,22.701276673111522,0.22046317711959545,3.7236987109730517,4.028794354313017,17273.751412429378,846.0915247891643,33.68930366352253,0.02533928505364171,0.11910752404501664,0.025197811577848308,1.8844630636651212
Track_14392,44,44,180,1,0,0,0,1,180.0,0.0,180.0,23.94488463794898,1094.8783206755502,844.7581265660774,0.0,6.658285667230129,29.351479557260994,0.11091614860326014,5.5506389419507975,4.7614344487897,27493.472222222223,1191.944050582797,36.51213240995922,0.020088933390993654,0.13302713687749435,0.01997918736533185,2.018703405459642
Track_14401,53,53,180,1,0,0,0,1,180.0,0.0,180.0,25.09160495842155,383.4598496427036,995.7904128136388,0.0,4.152233425831064,13.506635653440547,0.2047882103329922,3.5923493683619374,2.63366305064664,19031.527777777777,744.8940569261774,33.2209708955921,0.03368479681790272,0.13939780532456417,0.0335717651270205,1.885314624961984
Track_14403,55,55,170,8,0,0,0,2,180.0,0.0,180.0,31.1560838566714,334.54670292529835,331.18324160761654,0.0,3.8399942202455914,29.340819664380245,0.1931272440610578,3.0617140776075864,3.81830227535729,13507.364705882354,666.4553636508169,33.516690415004845,0.04674894307399609,0.17308935475928555,0.045075420646913215,1.9043963071748067
Track_14405,57,57,179,2,0,0,0,1,180.0,0.0,180.0,40.285094947932954,547.0551554415817,122.42162728831288,0.0,5.997445874778264,29.414085384558998,0.336321838658264,4.440136524133976,5.193251486660003,18865.748603351956,1070.6530615693136,43.487215793451384,0.03762665647159775,0.22380608304407196,0.03731689917957725,1.9242848152762064
Track_14406,58,58,178,2,0,0,0,2,180.0,0.0,180.0,20.89632894031035,884.1805855419817,613.0712432967194,0.0,4.006216023559142,18.095954514375926,0.26073865585474754,3.321204410909245,2.8620533531766355,14837.85393258427,713.5590191014765,34.63290342190065,0.029284653940221093,0.1160907163350575,0.02897764764864625,1.9344965443097495
Track_14408,60,60,180,1,0,0,0,1,180.0,0.0,180.0,5.332203912159859,731.4226665495439,371.4147139135108,0.0,5.632293521739793,22.180066127417927,0.20683617242313912,4.497640383362521,4.279045360952824,25304.522222222222,1008.7207728995835,29.755036204406807,0.005286104991009907,0.02962335506755477,0.005259554558584907,1.9929307615640184
Track_14409,61,61,180,1,0,0,0,1,180.0,0.0,180.0,25.225970384094232,820.3489618080774,200.7746750083439,0.0,4.431325949031565,21.08903364916715,0.14693251324310921,3.696208852040165,2.9780350112827607,20196.944444444445,800.2302862479966,35.87090636377512,0.031523388726475345,0.1401442799116346,0.031625811669814576,1.9981402990288823
Track_14411,63,63,180,1,0,0,0,1,180.0,0.0,180.0,42.86692088118817,859.0937062494042,1077.6917444128208,0.0,6.1648337450827295,27.81087487318247,0.11394352230186751,4.432619138878583,5.468458555411304,19093.494444444445,1106.398276765478,58.60901343852155,0.03874456584161386,0.2381495604510454,0.03863032975398585,1.8501827972040745
Track_14413,65,65,180,1,0,0,0,1,180.0,0.0,180.0,29.88172367504874,889.099948542125,366.30949388740703,0.0,4.950268912842351,18.055629546316176,0.12579229440596054,3.9450655756311463,3.4305273603730786,21327.46111111111,887.4903246615604,37.284618234303686,0.033669914865205965,0.166009575972493,0.03353546623332295,1.8659732007641077
Track_14414,66,66,60,1,0,0,0,1,60.0,0.0,60.0,14.49786758227951,902.3657332146518,210.84239351060404,0.0,6.499236873672923,17.948969455433346,0.37496052659589135,5.583101639193505,3.885503301286409,17169.783333333333,387.0708618050839,20.717111388580506,0.037455331860087565,0.24163112637132517,0.037178384334647555,2.0405528600126113
Track_14416,68,68,128,1,0,0,0,1,128.0,0.0,128.0,15.38123417810882,40.085260745305455,111.92864567007815,0.0,4.5741543419673265,20.65698405738966,0.3757470363404007,3.170523272247101,4.141567974331687,13750.203125,582.098270402134,48.750376882573,0.026423775778414395,0.12016589201647515,0.02627062469536003,1.788275444016635
